outcome,model,term,coef,se,pvalue,bh_global,bh_within_model
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.chore],-0.5603311134024687,1.3964126884757997,0.688225252805738,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.chore],-1.0429862183801653,1.4584855468867992,0.47453742398093324,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.chore],-0.7866537103382935,1.4054954966051592,0.5756851109428294,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.chore],-1.1073865293700271,1.3551031484099647,0.41381572942539935,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.ci],-3.248107594718853,1.6372887470820243,0.047274449941489334,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.ci],-2.8927486730435232,1.7291872719920118,0.09434797607170345,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.ci],-2.929550136631545,1.665238643322161,0.07853719067323692,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.ci],-2.3030799050354265,1.5979902272781883,0.14951822228515674,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.docs],-0.3762179312156191,1.2807983154710851,0.7689588333369661,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.docs],-0.0010129814193437002,1.3289285741316468,0.9993918091819693,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.docs],-0.1464739678606088,1.3061208621468279,0.910709018079448,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.docs],-0.1288337567894813,1.2551347755404696,0.9182444434621486,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.feat],-0.6555415560408079,1.1372919082658584,0.5643409821359031,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.feat],-0.20650074709803254,1.187744154018911,0.8619757879360446,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.feat],-0.7090074811010968,1.1670550303640248,0.5435068920441903,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.feat],-0.6614945787766966,1.111708762169587,0.5518267163969899,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.fix],-0.5803087569123303,1.164948037652057,0.6183844363464943,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.fix],-0.0689924999463214,1.2164436147199158,0.9547709805186518,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.fix],-0.6176051179353645,1.196244942739668,0.6056543216935022,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.fix],-0.8863166520069719,1.1409256253499922,0.4372531795968364,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.other],5.28825358824542e-15,2.388737438403352e-15,0.0268406199997051,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.other],-0.1947133636693707,0.6488571058226552,0.764111052034404,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.other],1.902692483260567e-15,7.172050570712616e-16,0.007979718501397216,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.other],-1.3439058789650647e-15,1.57961744016929e-15,0.3948919417786124,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.perf],-0.8660275555744504,1.903561850502355,0.6491444199223252,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.perf],-2.6795138158872076,1.9925698231245388,0.17870508274402175,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.perf],-1.1696697583391211,1.8911107093643857,0.536239600569846,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.perf],-1.4904123494522634,1.79811728536793,0.40717580895330485,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.refactor],-0.06913280043164209,1.3651802074495225,0.9596123446899206,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.refactor],0.3258427052402275,1.4158384496866803,0.8179820809779947,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.refactor],0.0783794816171662,1.3884853457969561,0.9549836223175997,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.refactor],-0.41774568279677704,1.337208643454168,0.7547355828556848,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.revert],-0.5443846022962888,0.9765956509869406,0.5772330516658877,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.revert],3.682047610425164e-16,7.879898284977485e-16,0.6403060328631435,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.revert],0.5629758068681158,0.9955317703934621,0.5717319547356889,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.revert],-0.5224317417255959,0.8703673877303819,0.5483444457576656,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.style],0.7022551463868847,0.7500387249140097,0.34912294247366726,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.style],0.979415968743725,0.6129993931364154,0.11010001066401187,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.style],-0.8035005725503931,0.5482074067533467,0.14273352608161166,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.style],-0.8084043620121905,0.3211230393779223,0.011821488666790614,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Copilot]:C(task_type)[T.test],-3.2747862136068564,1.6802783217595783,0.0513008432270369,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Cursor]:C(task_type)[T.test],-3.5215460800584744,1.778862496042685,0.047741546897845634,False,False
struct_flag,M1 agent × task_type,C(agent)[T.Devin]:C(task_type)[T.test],-3.358889109890163,1.6988489254315942,0.048024015126274314,False,False
struct_flag,M1 agent × task_type,C(agent)[T.OpenAI_Codex]:C(task_type)[T.test],-2.9264243604392197,1.6423645211431377,0.0747759666551249,False,False
struct_flag,M2 agent × has_tests_in_pr,C(agent)[T.Copilot]:has_tests_in_pr,0.9127372916519261,0.3380515428689333,0.006934063150352653,False,True
struct_flag,M2 agent × has_tests_in_pr,C(agent)[T.Cursor]:has_tests_in_pr,0.8374266194311553,0.3583385194368588,0.019440707806134362,False,True
struct_flag,M2 agent × has_tests_in_pr,C(agent)[T.Devin]:has_tests_in_pr,0.8457292369966752,0.3383617080151516,0.012437477009356178,False,True
struct_flag,M2 agent × has_tests_in_pr,C(agent)[T.OpenAI_Codex]:has_tests_in_pr,0.8745835660093976,0.3278613159835733,0.0076408521793152094,False,True
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Copilot]:C(reviews_bucket)[T.1],2.0715133172655746,0.7632720325152258,0.006647800103956742,False,True
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Cursor]:C(reviews_bucket)[T.1],2.288249895787178,0.7638809662374093,0.0027394301439618244,False,True
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Devin]:C(reviews_bucket)[T.1],2.1185267234324345,0.7550477958611647,0.005018902573624302,False,True
struct_flag,M3 agent × reviews_bucket,C(agent)[T.OpenAI_Codex]:C(reviews_bucket)[T.1],1.6192676007214304,0.7503411447227231,0.03092457726729884,False,False
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Copilot]:C(reviews_bucket)[T.2-3],1.2096097743638468,0.578799069993182,0.0366302612538738,False,False
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Cursor]:C(reviews_bucket)[T.2-3],1.224708668904334,0.5885888364841997,0.03745641410118559,False,False
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Devin]:C(reviews_bucket)[T.2-3],1.2364730879366532,0.5724878866539486,0.030786295533012504,False,False
struct_flag,M3 agent × reviews_bucket,C(agent)[T.OpenAI_Codex]:C(reviews_bucket)[T.2-3],0.26744841610009434,0.5698673819365148,0.6388431082765514,False,False
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Copilot]:C(reviews_bucket)[T.4+],0.302847605059349,0.4568693346338692,0.5074101308325003,False,False
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Cursor]:C(reviews_bucket)[T.4+],-0.27190764849039284,0.5149041706439741,0.5974477824147041,False,False
struct_flag,M3 agent × reviews_bucket,C(agent)[T.Devin]:C(reviews_bucket)[T.4+],0.05190561772982075,0.45815182356992296,0.9097978805102722,False,False
